Designator,Mid X,Mid Y,Rotation,Layer
C1.0,24.185,-3.892,180.0,top
C1.1,24.185,-27.892,180.0,top
C1.2,24.426035,-61.252911,180.0,top
C10.0,16.5,-12.8,90.0,top
C11.0,22.915,-19.580164,90.0,top
C11.1,22.915,-43.580164,90.0,top
C11.2,23.75,-68.068462,90.0,top
C12.0,12.934483,-19.638759,180.0,top
C12.1,12.934483,-43.638759,180.0,top
C12.2,10.822269,-63.165111,270.0,top
C13.0,12.99,-14.235,180.0,top
C14.0,16.163778,-5.487358,90.0,top
C15.0,11.49,-7.755,270.0,top
C16.0,11.49,-9.505,90.0,top
C17.0,11.49,-11.255,270.0,top
C18.0,11.49,-13.235,90.0,top
C2.0,11.895953,-15.244221,180.0,top
C2.1,11.895953,-39.244221,180.0,top
C2.2,6.427731,-64.203641,270.0,top
C3.0,24.185,-19.57555,90.0,top
C3.1,24.185,-43.57555,90.0,top
C3.2,24.725188,-68.063848,90.0,top
C4.0,22.28,-3.892,180.0,top
C4.1,22.28,-27.892,180.0,top
C4.2,24.471576,-66.143394,0.0,top
C5.0,10.342,-20.122368,0.0,top
C5.1,10.342,-44.122368,0.0,top
C5.2,11.315204,-65.785868,90.0,top
C6.0,16.45,-9.6875,270.0,top
C7.0,18.7,-8.4375,0.0,top
C8.0,12.940779,-20.56649,180.0,top
C8.1,12.940779,-44.56649,180.0,top
C8.2,11.75,-63.158815,270.0,top
C9.0,8.197832,-14.227635,0.0,top
C9.1,8.197832,-38.227635,0.0,top
C9.2,5.411145,-67.901762,90.0,top
D1.0,7.0,-2.3,270.0,top
D1.1,7.0,-26.3,270.0,top
D1.2,23.963455,-59.755334,180.0,top
D2.0,7.0,-6.3,270.0,top
D2.1,7.0,-30.3,270.0,top
D2.2,11.277992,-60.563277,90.0,top
D3.0,19.994,-19.005,90.0,top
D3.1,19.994,-43.005,90.0,top
D4.0,7.750558,-17.325627,90.0,top
D4.1,7.750558,-41.325627,90.0,top
D4.2,8.509137,-68.349036,180.0,top
J2.0,2.75,-10.8,90.0,top
J2.1,2.75,-34.8,90.0,top
J2.2,2.75,-58.8,90.0,top
JP1.1,22.854,-36.909,180.0,top
JP10.1,10.719,-31.829,0.0,top
JP11.1,22.854,-30.559,0.0,top
JP12.1,10.719,-30.559,0.0,top
JP2.1,10.654,-36.909,180.0,top
JP3.1,22.854,-35.639,180.0,top
JP4.1,10.654,-35.639,180.0,top
JP5.1,22.854,-34.369,180.0,top
JP6.1,10.719,-34.369,180.0,top
JP7.1,22.854,-33.099,0.0,top
JP8.1,10.719,-33.099,0.0,top
JP9.1,22.854,-31.829,0.0,top
K1.2,20.75,-53.55,180.0,top
K2.2,11.25,-53.55,180.0,top
L1.0,14.299594,-16.81649,270.0,top
L1.1,14.299594,-40.81649,270.0,top
L1.2,8.0,-61.8,0.0,top
R1.0,21.645,-19.561702,90.0,top
R1.1,21.645,-43.561702,90.0,top
R1.2,22.75,-68.05,90.0,top
R10.0,8.99,-11.735,180.0,top
R10.2,20.71339,-68.062304,270.0,top
R11.0,8.99,-12.735,180.0,top
R11.2,19.738202,-68.054614,270.0,top
R12.0,16.156281,-7.337696,90.0,top
R12.2,18.763014,-68.05769,270.0,top
R13.0,7.0,-4.3,0.0,top
R13.1,7.0,-28.3,0.0,top
R14.0,8.197832,-15.235135,180.0,top
R14.1,8.197832,-39.235135,180.0,top
R14.2,6.418645,-67.901762,270.0,top
R15.0,10.049594,-15.241878,180.0,top
R15.1,10.049594,-39.241878,180.0,top
R15.2,6.425388,-66.05,270.0,top
R16.0,18.75,-2.05,90.0,top
R2.0,18.47,-19.64,90.0,top
R2.1,18.47,-43.64,90.0,top
R2.2,13.887074,-68.059228,90.0,top
R3.0,20.502,-16.465,90.0,top
R3.1,20.502,-40.465,90.0,top
R4.0,17.062074,-19.64,270.0,top
R4.1,17.062074,-43.64,270.0,top
R4.2,15.83745,-68.053076,270.0,top
R5.0,19.994,-2.05,90.0,top
R5.1,19.994,-26.114,90.0,top
R5.2,12.911886,-68.05,270.0,top
R6.0,8.437,-3.765,270.0,top
R6.1,8.437,-27.765,270.0,top
R7.0,19.486,-16.465,270.0,top
R7.1,19.486,-40.465,270.0,top
R7.2,14.862262,-68.051538,270.0,top
R8.0,9.0,-8.55,180.0,top
R8.2,16.812638,-68.056152,270.0,top
R9.0,9.0,-9.55,180.0,top
R9.2,17.787826,-68.060766,270.0,top
U1.0,10.67762,-17.418775,180.0,top
U1.1,10.67762,-41.418775,180.0,top
U1.2,8.602285,-65.421974,270.0,top
U2.0,13.75,-10.55,180.0,top
U2.1,16.819,-32.464,90.0,top
U2.2,17.5,-63.05,0.0,top
U3.0,18.4,-10.8,90.0,bottom
U3.1,18.4,-34.8,90.0,bottom
U3.2,18.4,-58.8,90.0,bottom
U4.0,18.7,-11.6875,270.0,top
U5.0,13.863778,-5.447358,270.0,top
Y1.0,22.594011,-2.113535,180.0,top
Y1.1,22.594011,-26.113535,180.0,top
Y1.2,24.232977,-63.683298,270.0,top
